Gene	WC1_INPUT	WC1_IP	WC2_INPUT	WC2_IP	WC3_INPUT	WC3_IP
Lipe	2.896	3.466	1.833	1.326	2.37	2.643
Liph	0.937	0.621	0.798	0.599	0.834	0.296
Lipi	4.912	1.173	2.577	1.311	3.503	2.414
Lipt1	3.325	3.033	3.282	5.146	2.032	0.859
Lipt2	3.128	3.062	3.144	7.663	2.483	9.509
Litaf	19.825	2.343	17.484	1.49	15.028	2.239
Lix1	8.423	3.541	6.694	2.372	8.258	4.506
Lix1l	8.164	6	7.889	6.279	11.336	7.415
Llgl1	5.265	4.456	5.913	4.109	5.561	3.148
Llph	65.746	49.204	78.146	108.437	54.287	92.835
Lman1	8.048	7.87	5.754	4.872	6.73	5.309
Lman2	14.825	12.189	9.529	7.978	10.746	9.629
Lman2l	10.1	8.693	7.782	3.671	5.706	3.645
Lmbr1	7.418	5.361	5.745	4.833	6.826	3.588
Lmbrd1	19.342	22.797	15.878	13.689	21.57	14.394
Lmbrd2	10.511	15.531	7.642	5.336	12.075	9.099
Lmcd1	1.074	0.221	0.828	0.965	0.441	2.595
Lmf1	2.526	3.387	2.578	6.116	3.44	2.279
Lmf2	2.509	2.738	2.216	1.721	2.662	1.904
Lmln	2.41	1.577	1.288	0.71	2.175	1.242
Lmna	9.544	19.76	9.212	15.427	6.825	8.943
Lmnb1	1.702	2.078	1.325	1.114	1.437	0.235
Lmnb2	7.099	5.978	8.334	5.563	4.429	3.835
Lmo1	5.323	3.336	6.369	8.872	2.391	3.92
Lmo2	7.122	3.117	5.943	7.674	11.909	12.718
Lmo3	40.26	17.596	42.794	34.196	60.011	49.814
Lmo4	38.513	24.679	46.285	76.55	65.493	138.592
Lmo7	0.456	0.804	1.078	1.051	3.356	9.222
Lmtk2	9.379	10.713	7.363	5.048	12.685	9.098
Lmtk3	1.95	4.164	1.274	1.606	2.709	3.142
Lnp	13.812	10.111	10.615	5.725	16.588	8.153
Lnpep	13.793	16.717	8.856	10.264	12.063	12.245
Lnx1	9.984	7.292	8.211	6.218	8.683	7.87
Lnx2	1.003	0.473	1.052	0.509	2.009	0.567
LOC100041151	2.567	2.124	2.862	1.94	2.879	0.901
LOC100046034	8.556	6.366	2.31	13.921	2.535	1.145
